"Frecuencia,""Transaccionalidad"",""Ingresos"""
17,4096.4,1274.81
13,4658.52,1381
1,0.02,3642.52
1,0.03,2900
11,2459.42,650
7,1590.13,1430.63
17,14094.31,158
5,2377.11,4083
9,1875.54,0
15,3012.28,3400
22,2861.21,1100
20,1658.94,849.15
1,0.02,0
2,0.04,830
30,1981.06,706.45
2,141.28,954
24,4637.54,1178
20,5464.45,2264.07
13,299.61,150
14,1677.55,150
5,234.44,150
1,0.02,1170
32,34022,712.36
1,0.02,5500
14,3784.77,3272.02
26,26854.11,1436
5,418.94,320.8
2,19.71,0
24,4725.51,819
33,8253.64,860.69
21,2089.75,833.77
14,2994.92,2160.42
6,239.93,178
15,3515.96,819.16
17,1692.89,1506.12
19,3113.96,1003.72
8,299.38,158
30,4404.21,860
5,41.14,600
23,2235.98,986.03
13,32050.92,1592.73
8,514.41,1100
1,0.02,414.41
24,2319.17,1257.49
14,2047.62,2241.99
11,614.29,950.99
8,1078.46,1219.58
37,3105.85,1130.61
2,19.72,0
15,2169.26,1202.18
4,3301.51,1940
8,308.62,150
8,2012.81,1753.56
1,0.03,0
20,514.73,807.63
1,0.02,1000
1,0.02,803.79
10,10273.11,2840.14
1,0.02,0
15,1568.39,937.59
5,170.44,1200
32,6041.98,904.52
12,1519.59,792.1
7,656.41,310
25,2287.36,794.73
1,0.03,2672
19,1993.85,807.63
16,1824.19,806.03
3,51.06,850
47,3670.22,1022.18
13,3585.96,1280
1,0.02,396
14,2123.23,1020.58
43,1538.89,819.16
13,1595.23,1543
7,135.45,900
18,2222.61,1211.43
28,458.88,900
2,19.71,860.69
10,1372.3,708.33
6,951.29,469.06
13,2731.16,1090
1,1.86,0
1,0.02,850
1,0.02,1000
6,1127.96,890
23,1755.36,680
18,4269.14,1628
10,845.36,158
1,0.02,1930
1,0.02,140
30,7384.48,13740
9,475.76,180
35,3410.51,1003.72
52,7762.73,830.77
13,520.36,1003
13,1505.85,807.63
27,2336.99,849.15
24,6191.53,833.77
21,2880.76,158
4,6559.3,2396.83
10,1771.57,1037.49
34,3097.4,1473.24
20,2614.96,1130.61
37,950.5,156.78
8,2806.69,0
14,2383.3,1382.4
2,0.04,544
12,1867.09,819.16
4,178.99,228
2,69.74,969
17,2157.74,1150
55,2886.8,954.51
10,1876.42,955.39
9,151.12,670
14,1623.62,1003.72
