Cliente_ID,Frecuencia,Transaccionalidad,Ingresos,Indice_Cliente,Categoria_Indice,Cluster
1158,19.0,3113.96,1003.72,0.146765139283135,Muy Bajo,0
1159,8.0,299.38,158.0,-0.2930893683020412,Muy Bajo,0
1160,30.0,4404.21,860.0,0.47892900627956514,Muy Bajo,0
1161,5.0,41.14,600.0,-0.37015415851621714,Muy Bajo,0
1162,23.0,2235.98,986.03,0.1907417616541794,Muy Bajo,0
1163,13.0,32050.92,1592.73,1.6812733407046532,Muy Bajo,0
1164,8.0,514.41,1100.0,-0.26168739613296266,Muy Bajo,0
1165,1.0,0.02,414.41,-0.4711176556249171,Muy Bajo,0
1166,24.0,2319.17,1257.49,0.22472420562639892,Muy Bajo,0
1167,14.0,2047.62,2241.99,-0.00813146283375327,Muy Bajo,0
1168,11.0,614.29,950.99,-0.18781483434764779,Muy Bajo,0
1169,8.0,1078.46,1219.58,-0.22681915075811876,Muy Bajo,0
1170,37.0,3105.85,1130.61,0.5756796757225978,Muy Bajo,0
1171,2.0,19.72,0.0,-0.4546440293162345,Muy Bajo,0
1172,15.0,2169.26,1202.18,0.0015729382750736926,Muy Bajo,0
1173,4.0,3301.51,1940.0,-0.17921092778392325,Muy Bajo,0
1174,8.0,308.62,150.0,-0.2927193628122055,Muy Bajo,0
1175,8.0,2012.81,1753.56,-0.16227407464058613,Muy Bajo,0
1176,1.0,0.03,0.0,-0.4794889843279049,Muy Bajo,0
1177,20.0,514.73,807.63,0.016969703559373474,Muy Bajo,0
1178,1.0,0.02,1000.0,-0.45928757601029446,Muy Bajo,0
1179,1.0,0.02,803.79,-0.4632514072252829,Muy Bajo,0
1180,10.0,10273.11,2840.14,0.38235572323724687,Muy Bajo,0
1181,1.0,0.02,0.0,-0.47948955967569623,Muy Bajo,0
1182,15.0,1568.39,937.59,-0.038343227318647526,Muy Bajo,0
1183,5.0,170.44,1200.0,-0.3505937213754995,Muy Bajo,0
1184,32.0,6041.98,904.52,0.6214813242288898,Muy Bajo,0
1185,12.0,1519.59,792.1,-0.11522639677547565,Muy Bajo,0
1186,7.0,656.41,310.0,-0.29318911980281137,Muy Bajo,0
1187,25.0,2287.36,794.73,0.2372574495518859,Muy Bajo,0
1188,1.0,0.03,2672.0,-0.42550928397395127,Muy Bajo,0
1189,19.0,1993.85,807.63,0.07835845085516274,Muy Bajo,0
1190,16.0,1824.19,806.03,-0.002571508577672209,Muy Bajo,0
1191,3.0,51.06,850.0,-0.41195710801211094,Muy Bajo,0
1192,47.0,3670.22,1022.18,0.8430810300372719,Muy Bajo,0
1193,13.0,3585.96,1280.0,0.0372303878158199,Muy Bajo,0
1194,1.0,0.02,396.0,-0.4714895741441971,Muy Bajo,0
1195,14.0,2123.23,1020.58,-0.028456163052511335,Muy Bajo,0
1196,43.0,1538.89,819.16,0.6215056416684902,Muy Bajo,0
1197,13.0,1595.23,1543.0,-0.0719927013371455,Muy Bajo,0
1198,7.0,135.45,900.0,-0.31124326797565854,Muy Bajo,0
1199,18.0,2222.61,1211.43,0.07596557272236781,Muy Bajo,0
1200,28.0,458.88,900.0,0.2053192050609956,Muy Bajo,0
1201,2.0,19.71,860.69,-0.43725695934305114,Muy Bajo,0
1202,10.0,1372.3,708.33,-0.1728172049863585,Muy Bajo,0
1203,6.0,951.29,469.06,-0.2967220318218177,Muy Bajo,0
1204,13.0,2731.16,1090.0,-0.015788718280716266,Muy Bajo,0
1205,1.0,1.86,0.0,-0.4793836956820975,Muy Bajo,0
1206,1.0,0.02,850.0,-0.46231787356010473,Muy Bajo,0
1207,1.0,0.02,1000.0,-0.45928757601029446,Muy Bajo,0
1208,6.0,1127.96,890.0,-0.27805353938885063,Muy Bajo,0
1209,23.0,1755.36,680.0,0.1569069830477163,Muy Bajo,0
1210,18.0,4269.14,1628.0,0.20212776459027035,Muy Bajo,0
1211,10.0,845.36,158.0,-0.21425233917156924,Muy Bajo,0
1212,1.0,0.02,1930.0,-0.44049973120147073,Muy Bajo,0
1213,1.0,0.02,140.0,-0.47666128196254,Muy Bajo,0
1214,30.0,7384.48,13740.0,0.9105997320869589,Muy Bajo,0
1215,9.0,475.76,180.0,-0.2587848451078915,Muy Bajo,0
1216,35.0,3410.51,1003.72,0.5432206014037532,Muy Bajo,0
1217,52.0,7762.73,830.77,1.1932363033331967,Muy Bajo,0
1218,13.0,520.36,1003.0,-0.14474418055965627,Muy Bajo,0
1219,13.0,1505.85,807.63,-0.09199109262378904,Muy Bajo,0
1220,27.0,2336.99,849.15,0.2886364830123778,Muy Bajo,0
1221,24.0,6191.53,833.77,0.43895959841857135,Muy Bajo,0
1222,21.0,2880.76,158.0,0.1636869975857852,Muy Bajo,0
1223,4.0,6559.3,2396.83,0.017454172515048653,Muy Bajo,0
1224,10.0,1771.57,1037.49,-0.1431956087799198,Muy Bajo,0
