Frecuencia,Transaccionalidad,Ingresos,Cluster
14.0,2007.39,937.59,0
2.0,176.02,1800.0,1
8.0,1207.19,1734.0,1
14.0,1710.53,860.69,0
8.0,8881.94,819.16,2
2.0,0.37,160.0,0
2.0,19.89,2765.0,1
12.0,1890.56,1410.0,0
10.0,5456.53,1180.0,2
4.0,21.4,3780.0,1
33.0,2797.09,809.72,2
21.0,1614.9,824.53,0
18.0,11670.64,1913.51,2
15.0,402.8,804.25,0
20.0,2776.26,1624.58,2
15.0,558.07,155.0,0
1.0,0.02,337.0,0
23.0,929.7,1070.0,2
22.0,1733.8,819.16,2
28.0,1694.28,724.62,2
6.0,226.32,800.0,0
16.0,1729.51,150.0,0
55.0,5257.24,2180.0,2
13.0,1555.75,1013.0,0
12.0,1756.05,986.03,0
1.0,0.02,0.0,0
31.0,5562.4,693.75,2
3.0,25.74,874.78,0
51.0,10039.63,150.0,2
10.0,1734.45,1070.0,0
16.0,2264.77,1257.49,0
6.0,331.45,807.63,0
9.0,1180.47,819.16,0
1.0,0.02,150.0,0
11.0,1106.46,1111.29,0
6.0,249.91,158.0,0
16.0,1724.73,849.15,0
6.0,3029.34,302.24,0
20.0,7895.69,720.72,2
1.0,0.02,1200.0,0
6.0,274.2,150.0,0
3.0,157.8,158.0,0
20.0,4340.36,807.63,2
7.0,1206.17,2453.9,1
2.0,19.72,0.0,0
22.0,3109.85,888.37,2
7.0,286.88,168.0,0
1.0,0.02,400.0,0
21.0,1085.89,819.16,0
2.0,179.16,2090.0,1
3.0,0.3,0.0,0
5.0,1730.65,800.0,0
9.0,531.12,1200.0,0
19.0,1723.57,888.37,0
1.0,0.02,4900.0,1
30.0,2874.3,937.59,2
2.0,80.72,405.21,0
11.0,1409.42,565.29,0
28.0,2187.42,1110.61,2
3.0,569.97,845.0,0
11.0,1239.63,850.99,0
8.0,322.54,180.0,0
10.0,1773.01,1548.91,1
1.0,0.02,100.0,0
28.0,7532.18,848.15,2
31.0,3081.05,819.16,2
1.0,0.02,800.0,0
